city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb,price_min,price_max,price_avg,clean_date
上海,整租·杨家浜小区 1室1厅 南,整租,杨浦,控江路,杨家浜小区,36.0,1,1,1,南,低,3,自营|新上|近地铁|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,3200,3200.0,3200.0,3200.0,2026-01-06
上海,整租·金杨六街坊 1室1厅 南,整租,浦东,金杨,金杨六街坊,41.07,1,1,1,南,中,6,官方核验|近地铁|随时看房,链家,1天前维护,3400,3400.0,3400.0,3400.0,2026-01-05
上海,整租·东方明珠大宁公寓 2室2厅 东南/南,整租,静安,大宁,东方明珠大宁公寓,95.18,2,2,2,东南 南,低,25,自营|新上|押一付一|双卫生间|随时看房|首次出租,贝壳优选,今天维护,7500,7500.0,7500.0,7500.0,2026-01-06
上海,独栋·方隅服务公寓 上海会展旗舰店 【康复医院陪护】近华山西院康复医院 可做饭 陪护优选拎包入住 1室1厅,独栋,未知,未知,未知,50.0,1,1,1,未知,未知,0,独栋公寓|月租|精装|开放厨房|押一付一,方隅服务公寓,1天前维护,4670,4670.0,4670.0,4670.0,2026-01-05
上海,整租·绿地海域笙晖(公寓) 3室1厅 南,整租,宝山,杨行,绿地海域笙晖(公寓),96.32,3,1,1,南,低,16,自营|新上|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,6100,6100.0,6100.0,6100.0,2026-01-06
上海,独栋·保利和寓 上海保利和寓光合社区 央企保租房·首开特惠 15号线元江路地铁口 接驳车 1室1厅,独栋,未知,未知,未知,34.02,1,1,1,未知,未知,0,独栋公寓|拎包入住|近地铁|精装|有阳台|开放厨房|押一付一,保利和寓,22天前维护,2330,2330.0,2330.0,2330.0,2025-12-15
上海,整租·首创禧悦(二期) 3室2厅 南,整租,青浦,盈浦,首创禧悦(二期),113.94,3,2,2,南,中,8,官方核验|自营|新上|近地铁|精装|押一付一|双卫生间|随时看房|首次出租,贝壳优选,今天维护,5000,5000.0,5000.0,5000.0,2026-01-06
上海,整租·古银杏苑 2室2厅 东南,整租,浦东,三林,古银杏苑,92.12,2,2,1,东南,中,18,官方核验|近地铁|随时看房,链家,未知,6000,6000.0,6000.0,6000.0,未知
上海,整租·宝钢三村 2室1厅 南,整租,宝山,淞宝,宝钢三村,46.85,2,1,1,南,高,6,自营|新上|押一付一|随时看房|首次出租,贝壳优选,今天维护,2500,2500.0,2500.0,2500.0,2026-01-06
上海,独栋·保利和寓 上海保利和寓光合社区 近颛桥万达！央企保租房 民水民电 24H安保 首租南向一居 1室1厅,独栋,未知,未知,未知,34.02,1,1,1,未知,未知,0,独栋公寓|拎包入住|近地铁|精装|有阳台|开放厨房|押一付一,保利和寓,22天前维护,2418,2418.0,2418.0,2418.0,2025-12-15
